Ratings,Reviews,binaryRatings
1,one bad episod seri im go tri hard review without complet blow gasket begin hot lip aflutt visit colonel femal colonel keep fumbl hawkey send get argument scrub room tell frank someth well childishli take towel snap hawkey hawkey could man ignor figur simpleton isnt worth kind retali instead rear back punch right away trapper deni assault take place frank still want court martial henri reluct paperwork actual job frank insist paper drawn hawkey place hous arrest absolut ador father mulcahi bring prisonersofwar carepackag cook make genuin steak thank hit burnscolonel rees eventu show isnt model perfect hot lip hope rather wisecrack flirtati shrew take quit shine frank way continu there subplot radar buy alter pant elev shoe he tire height insult get think would appropri plot instead b im idiot write anyway decid show movi swamp hawkey see everybodi crowd tent frank goe look hot lip instead find rees tent colonel flirt burn promis big thing get throe intimaci hot lip walk happen colonel rees scream rape get everyon attent particularli trapper excit go rape bitch colonel want file charg frank reason hot lip lie scrub room incid hawkey find innoc frank hous arrestoh hous arrest hate thee let count way horribl script jim fritzel everett greenbaum whoever say show best writer wouldnt know good write bit ear couldv write well script horribl direct hy averback horribl act everybodi phone one especi mari wick horribl allaround idea love god think good idea frank burn get punch didnt deserv hawkey go hous arrest everybodi treat like victim colonel rees bitch come accus frank rape get troubl reason blow mind mani level hate episod hate hate hate fieri passion advis mash fan avoid like thought funni your sick mean unfair display ever see frank classa jerkwad still treat unfairli viewer stay away garbag make angri cur day first lay eye cant put word acrimoni make screw hous arrest,-1
9,lot make hawkey belt frank wasnt first time tri attack frank would last mr pacifist yep hypocrit time like episod despit cringeworthi rape joke mari wick hit park like alway wasnt fritzel greenbaum best effort there enough uniqu folksi humor move thing along,1
7,let say outset im particular fan kind film nightbre hold certain fascin messag perspectiveback old day folk inhabit midian would call zombi undead accord clive barker give u certain member human kind craig sheffer bear potenti becom part worldpsychiatrist david cronenberg first look like mild manner profession take unto fanat mission rid world nightbre trick polic kill sheffer sheffer goe graveyard name midian cemeteri nightbre congreg live underground sheffer also leave girl friend ann bobbi still feel even he kill one undead tri small way bridg humankind clive barker creatur pretti gruesom look lot particularli fond human plain see human leave alon nightbre turn bother themyour sympathi definit nightbre especi see fanat like cronenberg redneck polic chief charl haid actioncl barker gay man time suggest nightbre metaphor gay peopl see would come especi sinc whole lot peopl dont even think gay anyth human theyr taught waygrant nightbre pretti bloodi lot gratuit violenc also make think like way clive barker turn tradit theolog head make craig sheffer kind messiah nightbre creatur,1
6,aaron boon craig sheffer disturb dream midian monster live psychiatrist dr decker david cronenberg treat convinc commit seri murder tri go midian real reject inhabit polic catch outsid gate decker trick polic kill boon boon resurrect accept midian girlfriend lori winston track boon follow decker turn real monstercl barker quit good enough direct cronenberg compet villain would far superior choic director fill grotesqu weird monstros effect gore narciss slice head amaz although creatur le effect there much real makeup cgi rather primit movi attempt grand horror barker doesnt still stick lot bmovi horror trope cop silli enough good actor minor rolesedit director cut long cant tell what ad version there almost twenti minut probabl flow bit well although could cut ann bobbi sing neither craig sheffer alist perform limit still extend cut still dont see bodyhorror expert cronenberg isnt direct he right set alreadi creatur creation pretti good especi consid limit budget although midian shortchang need otherworldli secondari act still blevel never good rel good bmovi wonder big remak could great,1
7,mask serialkil slaughter famili meanwhil youngster aaron boon craig sheffer nightmar monster place call midian therapi psychiatr dr philip k decker david cronenberg girlfriend lori winston ann bobbi want travel vacat aaron visit dr decker session doctor convinc serialkil ask aaron turn polic also give medic calm howev inde hallucinogen aaron hit truck awak hospit share room insan narciss hugh ross overhear man talk midian aaron learn direct reach place head place find midian cemeteri monster hidden human underground bitten peloquin oliv parker aaron flee monster find dr decker detect joyc hugh quarshi team polic offic wait outsid cemeteri decker lie yell aaron gun murder polic howev bite reviv goe midian join societi monster hide underground meanwhil lori seek decker want destroy ancient breed monstersnightbre culthorrorfantasi film clive barker film highli entertain screenplay abrupt begin decept conclus dvd saw altern end accord director cut descript give perfect conclus film aaron say goodby lori suicid resurrect nightbre resurrect decker ashberri kill eigerman seek reveng vote seventitl brazil raça da treva dark breednot juli saw film,1
6,editor new cut also call cabal cut moment tour new version around world watch frightfest peopl respons tour world next stop bottrop germani convent novemb cours awar newli insert footag take vh young rememb equal bad qualiti project one big screen happen frightfest might get nauseabut first encount nightbre hadnt see movi admit yet restor scene requir time get use movi whole feel bit long mayb produc onto someth im glad opportun watch entireti cut theyr satisfi audienc watch resultth stori actual pretti good havent read novel guess close get act didnt realli convinc david cronenberg good also weird whole movi strang vibe sure make definit appeal mass tri get chanc,1
5,boon dream citi call midian monster live alon other dreamt reason may real interest enough plot boon also suspect mask serial killer amass fifteen victimscl barker write stori cabal direct film probabl weak film despit underground fan follow clearli rank level hellrais ye decent cast doug bradley simon bamford though doug almost complet unrecogniz david cronenberg probabl one great director ever live play realli creepi psychiatrist think fair say highlight film fact without cronenberg film would complet wast timeth film major plot issu priest come show act though film entir time though know fals fact becom main charact somehow earlier scene get edit psychiatrist intent wipe midian care care nightbre none charact ever develop call differ race clear peopl cross strang question ask few answer getth film whole much go focus serial killer part would enough introduc thirti charact develop none recent addit minut footag find film would probabl explain plot well ye worth sit threehour version film suspect two hour averag best long version could improv thisnow still support releas clive barker fight morgan creek refus releas sell footag want see cannot fair second cut mpaa hospit scene man remov face trim exampleshould see well like clive barker ye doug bradley though cannot even recogn due german voic dub one good film see none refer book even mention sad state affair,-1
8,troubl young man aaron boon likeabl passabl perform craig sheffer get set serial killer cun derang psychiatrist dr philip k decker well play chill understat note film director david cronenberg howev turn boon actual monster messiah disguis decker use mean find mythic creatur shangrila call midianwriterdirector clive barker deliv potent provoc horrorfantasi allegori mankind cruelti hatr intoler toward anyon anyth differ goe outsid man abil understand subsequ accept moreov barker present dazzl array monster exot grotesqu sympathet wholli convinc magic underground world midian color inhabit beauti realizedin addit act zeal abl cast ann bobbi boon concern girlfriend lori winston charl haid hate bigot captain eigerman hugh quarshi pragmat detect joyc hugh ross raucou narciss doug bradley peac moseslik leader dirk lylesberg catherin chevali allur rachel oliv parker feroci peloquin malcolm smith weak drunken priest ashberri pop nifti small role john agar illfat ga station owner prolif british bit player harri fielder redneck get take littl black demon devil lude splatterpunk writer john skipp craig spector coupl bloodi dead bodi hotel room robin vidgeon vibrant cinematographi offer wealth stun visual danni elfman robust majest orchestr score hit rous spot superior creatur featur,1
4,plagu weird dream mythic place call midian aaron boon craig sheffer draw nightmarish world monster madman ador girlfriend lori ann bobbi towi first saw clive barker nightbre couldnt believ man give u excel hellrais film total mess sinc learnt movi victim studio interfer footag excis barker wish honest doesnt make experi good director cut still suffer dread stori weak perform bad special effect cemeteri matt paint aw lousi monster pathet creatur viewer suppos empathis allpervad overblown score danni elfman chant section sound uncannili similar old advert meow mix want chicken want liver david cronenberg hood serial killer psychiatrist dr philip k decker impress charact truli scari creation although still havent quit figur see button mask honest wish whole film decker would whole lot entertain muddl monster mash round imdb,-1
5,rememb watch nightbre sometim teenag year later adult year decid revisit rememb fondlynow must admit nightbre actual weigh fairli tame storylin odd rememb much entertain howev lack deeper storylin make lot interest makeup effect numer member tribether good act perform put equal good cast includ like craig sheffer doug bradleynightbre sort surreal mixtur horror grotesqu imagin writer director clive barker cours one would suspect endeavor creativ mind especi interest workthi movi particularli outstand term horror genr although creatur design someth actual imprint memori long long time great accomplish opinioni believ third fourth time actual watch nightbre sinc initi releas back,-1
8,direct clive barker base novella cabal movi commerci critic failur barker alway claim produc tri sell film run mill slasher anyth final abl releas director cut fix mani issuesaaron boon craig sheffer fire sky dream place call midian monster accept girlfriend lori convinc start see psychotherapist name dr phillip decker abli play david cronenberg peopl along decker set boon murder he commit give lsd instead lithium fill head detail murdersdeck urg boon turn he hit truck send hospit meet narciss anoth man know midian explain boon get hide stori cut faceboon make way midian meet creatur make home like kinski nichola vinc chatter cenobit hellrais peloquin demon creatur smell boon innoc let know there way murder could bite boon run polic trap lead decker shot killedh dead wasnt peloquin bite soon return life morgu girlfriend decid come look midian boon becom part nightbre thank leader dirk lylesburg doug bradley pinhead touch god baphometwhat follow battl polic clergi versu nightbre end boon ralli supernatur creatur destroy home stop attack decker stop baphomet discuss part propheci renam boon cabalther two differ end film depend origin director cut chang stori significantli one rais decker dead anoth place lori nightbre set stage adventur never happen sadlybark want star war horror film envis trilog stori film wasnt market well never make back budget barker say produc express concern monster good guy repli that pointmarvel epic imprint put sever comic book server video game soon film slide away obscur luckili excit around director cabal cut film releas syfi morgan creek barker announc entir new seri base movieinterestingli enough filmmak alejandro jodorowski speak well nightbre call first truli gay horror fantasi epic saw movi unconsumm relationship doctor patientther plenti music tie film role ohnaka first intend singer marc almond suzi quatro film scene cut also one first film danni elfman score batman barker state uncompromis portion entir movi scorenightbre hold remind convent season could see button shirt movi everywher excit fever pitch think go huge show smart,1
4,take year final see film begin watch age know way young get terrifi there scene near begin nightbre madman  wear scariest mask ever  butcher entir famili pretti creepi assur never realli dare watch still think nightbre abl caus nightmar peopl stuf gruesom monster fair amount unpleas kill scene scari constant artilleri ugli second time clive barker turn novel scenario compar hellrais happen favorit film time nightbre noth rubbish regret barker didnt succeed creat sober chill atmospher attempt moral ruin whole film cronenberg haid suppos personif modern evil barker tri tell u theyr much danger coupl mutant outcast whore live underneath abandon cemeteri well compar hellrais much otherwis youll feel terribl cheat clive barker direct look amateurish untidi act isnt real highlight neither david cronenberg much good director actor nice see role ill admit would lie say absolut noth enjoy nightbre set pretti cool music truli terrif thank danni elfman guid music score memor sequenc film actual cut back ugli monster bit maintain elfman music practic tim burton film togeth recommend,-1
5,im much barker fan ive read book blood put self indulg purpl prose write nevertheless realli enjoy hellrais rate great horror film ever make look forward see nightbre spoiler oh gawd disappoint ive never read barker novel cabal feel may order make sen film adapt dr decker think cronenberg play well bump peopl pick boon patsi criterion peopl soul meet order enter midian classic exampl underdevelop script answer question may obviou screenwriteradaptor leav audienc total puzzl thing confus way film market horror movi human bad guy well apart bad premis horror film confus human uniformili bad ye attack monster lair believ theyv behind murder human along boon there absolut idic human know decker respons word theyr guilti noth want protect commun hideou murder anyth wrong concept opinion attack midian way top nightbre set canada redneck equip assault rifl flame thrower rocket launcher sinc canadian citizen allow despit seriou flaw im sad see clive barker seem retir make film hope hed becom big name british film industri remind nightbre film locat canada convinc studio exterior film britain mainli british cast crew class american film,-1
8,note review rate appli director cut recent releas dvd bluray scream factorycl barker adapt stori cabal one actual could describ epic incarn would even nicer get know charact littl well dark fall film succe viscer visual level look someth special theme reson end result come intoler hatr xenophobia one cannot help root monster unfortun produc morgan creek see eye eye barker compromis vision didnt think possibl monster sympathet heroescraig sheffer star aaron boon young man unsur whether commit murder psychiatrist philip decker well cast david cronenberg realli help unfortun polic convinc boon killer track gate mysteri commun name midian pump full bullet howev boon want becom part commun believ place sin forgiven monster soon accept one ownsheff okay easili act cronenberg creat memor creep inde ann bobbi appeal lori boon lover embark journey world search answer charl haid excel gung ho antagonist polic captain eigerman fine support cast also includ hugh quarshi doug bradley catherin chevali nichola vinc simon bamford treat see screen veteran john agar small roleth vari vivid makeup effect work charact impress hat bob keen compani imag anim effortsin addit engag romanc centr thing barker abl creat fierc dynam apocalypt climax viewer full attentiona creatur featur sensit toward creatur nightbre definit worth look anoth one fan genreeight,1
