Ratings,Reviews,binaryRatings
1,"This is one of the worst episodes of the series, so I'm going to try hard to review it without completely blowing a gasket. It all began when Hot Lips was all aflutter for a visiting colonel, and a female colonel at that. She kept fumbling up in O.R., so Hawkeye sends her out. They get into an argument in the scrub room, and she tells Frank to do something about it. What can he do? Well, he childishly takes a towel and snaps Hawkeye with it. Now, Hawkeye could have been a man and ignored this, figuring this simpleton isn't worth any kind of retaliation, but no, instead he rears back and punches him. Right away, he and Trapper deny any assault took place, but Frank still wants a court martial. Henry is reluctant, because of the paperwork and having to actually do his job and all, but Frank insists, and while the papers are drawn up, Hawkeye is placed under house arrest, which he absolutely adores. Father Mulcahy brings him a prisoners-of-war care-package and the cook makes him a genuine steak to thank him for hitting Burns.Colonel Reese eventually shows up. She isn't the model of perfection Hot Lips was hoping for, but rather a wise-cracking, flirtatious shrew who takes quite a shine to Frank. By the way, before I continue, there's a subplot about Radar buying altered pants and elevator shoes because he's tired of all the height insults he gets. I think this would have been a more appropriate A plot instead of a B, but I'm not the idiots who wrote this. So anyway, they decide to show the movie in the Swamp so Hawkeye can see it, and everybody crowds in the tent, while Frank goes to look to Hot Lips and instead finds Reese in her tent. The colonel flirts with Burns and promises big things for him, and so they get into the throes of intimacy, but when Hot Lips walks in on them, this happens: Colonel Reese screams ""Rape!"" This gets everyone's attention, particularly Trapper being excited about going to a rape. So now the bitch colonel wants to file charges on Frank for no reason and Hot Lips lies about the scrub room incident, so now Hawkeye is found innocent and Frank is under house arrest.Oh, House Arrest, how do I hate thee? Let me count the ways: 1) Horrible script by Jim Fritzell and Everett Greenbaum. Whoever said they were the show's best writers wouldn't know good writing if it bit him on the ear. I could've written a better script than this. 2) Horrible direction by Hy Averback. 3) Horrible acting. Everybody phoned this one in, especially Mary Wickes. 4) Horrible all-around idea. For the love of God, why did they think this was a good idea?! Frank Burns getting punched, not that didn't deserve it, then Hawkeye going under house arrest and everybody treating him like a victim, then this Colonel Reese bitch coming in and accusing Frank of rape, getting him in trouble for no reason! This blows my mind on so many levels. I HATE this episode! I HATE, HATE, HATE it with a fiery passion and I advise all M*A*S*H fans to avoid it. If you like this or thought it was funny, you're sick. This was the meanest, most unfair display I have ever seen. So what if Frank is a Class-A jerk-wad, he was still treated unfairly here. Viewers, again, stay away from this garbage! It will make you very angry and curse the day you first laid eyes on it. I can't put into words how acrimonious it's made me. Screw you, House Arrest!",-1
9,"A lot has has been made about Hawkeye belting Frank. It wasnt the first time he tried to attack Frank, nor would it be the last. As for his being Mr Pacifist, yep, he was being a hypocrite, but we all are at times. I liked the episode, despite the cringeworthy rape joke, Mary Wickes hits it out the park like she always did, And while this wasn't Fritzell & Greenbaum's best effort, there's enough of their unique, folksy humor to move things along.",1
7,"Let me say from the outset I'm not a particular fan of this kind of film, but Nightbreed holds a certain fascination for me with a message about perspective.Back in the old days, the folks who inhabit Midian would have been called Zombies, the undead. And according to what Clive Barker has given us certain members of human kind, in this Craig Sheffer are born with the potential to become part of that world.Psychiatrist David Cronenberg at first looking like the mild mannered professional has taken unto himself a fanatical mission to rid the world of the Nightbreed. He tricks the police into killing Sheffer, but Sheffer goes to a graveyard named Midian cemetery where the Nightbreed congregate and live underground. Sheffer has also left a girl friend, Anne Bobby, who still has feelings for him even after he's been killed and is now one of the undead. She tries in her own small way to be a bridge to humankind. Clive Barker's creatures are a pretty gruesome looking lot and are not particularly fond of humans. But it's plain to see that if humans left them alone, the Nightbreed in turn not bother with them.Your sympathies are definitely with the Nightbreed especially after seeing a fanatic like Cronenberg and redneck police chief Charles Haid in action.Clive Barker's been an out gay man for some time now and some have suggested to me that the Nightbreed is a metaphor for gay people. I can see where that would come in, especially since there are a whole lot of people who don't even think of gays as anything human because they're taught that way.Granted Nightbreed is pretty bloody with a lot of gratuitous violence, but it also does make you think and I do like the way Clive Barker does turn traditional theology on its head and makes Craig Sheffer a kind of messiah for the Nightbreed creatures.",1
6,Aaron Boone (Craig Sheffer) has disturbing dreams of Midian where monsters live. Psychiatrist Dr. Decker (David Cronenberg) is treating him and convinces him that he committed a series of murders. He tries to go to Midian for real and is rejected by its inhabitants. The police catches up to him outside the gates and Decker tricks the police into killing Boone. Boone is resurrected and he is accepted into Midian. His girlfriend Lori Winston tracks down Boone but she is followed by Decker who turns out to be the real monster.Clive Barker is not quite good enough to direct this. Cronenberg is competent as a villain but he would have been a far superior choice as the director. This is filled with the grotesque and weird monstrosities. Some of it is very effective gore. Narcisse slicing through his own head is amazing although other creatures are less effective. There's only so much real makeup can do and CGI is rather primitive. The movie attempts for grand horror but Barker doesn't have it in him. He is still stuck in a lot of B-movie horror tropes. The cops are too silly. There are not enough good actors for the minor roles.EDIT: Director's Cut It's been so long that I can't tell what's been added in this version. There's almost twenty minutes more. This probably flowed a bit better although it could cut down Anne Bobby's singing. Neither her nor Craig Sheffer are A-list performers. The limitations are still the same in this extended cut. I still don't see why body-horror expert Cronenberg isn't doing the directing. He's right there on set already. The creature creations are pretty good especially considering the limited budget although Midian is short-changed. It needs to be more other-worldly. The secondary acting is still B-level. This will never be better than a relatively good B-movie. I do wonder if a bigger remake could be great.,1
7,"A masked serial-killer is slaughtering families. Meanwhile, the youngster Aaron Boone (Craig Sheffer) has nightmares with monsters in a place called Midian. He has therapy with the psychiatric Dr. Philip K. Decker (David Cronenberg) and his girlfriend Lori Winston (Anne Bobby) wants to travel on vacation with him. When Aaron visits Dr. Decker for a session, the doctor convinces him that he is a serial-killer and asks Aaron to turn himself in to the police. He also gives a medication to calm him down. However it is indeed a hallucinogen and Aaron is hit by a truck. He awakes in a hospital where he shares a room with the insane Narcisse (Hugh Ross). When he overhears the man talking about Midian, Aaron learns the direction to reach the place. He heads to the place and finds that Midian is a cemetery. Further, there are monsters hidden from the humans in the underground and is bitten by Peloquin (Oliver Parker). Aaron flees from the monsters and finds Dr. Decker, Detective Joyce (Hugh Quarshie) and a team of police officers waiting for him outside the cemetery. Decker lies and yells that Aaron has a gun and he is murdered by the police. However the bite revives him and he goes to Midian, where he joins a society of monsters hidden in the underground. Meanwhile Lori is seeking him out while Decker wants to destroy the ancient breed of monsters.""Nightbreed"" is a cult-horror-fantasy film by Clive Barker. The film is highly entertaining but screenplay has an abrupt beginning and a deceptive conclusion. The DVD I saw does not have an alternate ending in accordance with the director's cut, but the description gives a perfect conclusion to this film. Aaron says goodbye to Lori, but she suicides and resurrects as a Nightbreed. There is no resurrection of Decker and Ashberry kills Eigerman that is seeking revenge. My vote is seven.Title (Brazil): ""Raça das Trevas"" (""Darkness Breed"")Note: On 19 July 2020, I saw this film again.",1
6,"The editor of the new cut (also called Cabal Cut at the moment) is touring with this ""new"" version around the world. I did watch it at Frightfest, but the people responsible for that are touring the world with it. Next stop will be Bottrop in Germany, at a convention in November 2012. Of course you should be aware that the newly inserted footage is taken from a VHS. For those too young to remember: It equals bad quality! Project that on one of the biggest screens (as it happened at Frightfest) and you might get nausea.But this was my first encounter with Nightbreed, because I hadn't seen the movie before that. I have to admit, the not yet restored scenes did require some time getting used to. The movie as whole feels a bit too long (maybe the producers were onto something for once?). But I'm glad I had the opportunity to watch it in its entirety. There will further cuts until they're satisfied (and the audience watching) with the result.The story is actually pretty good (I haven't read the novel, but I guess this is as close as it gets), but some of the acting didn't really convince me. David Cronenberg was good, but also very weird. Than again, the whole movie has this strange vibe to it. Not sure what to make of it and will definitely not appeal to the masses. Try it if you get the chance",1
5,"Boone has dreams of a city called Midian where the monsters live. He is not alone -- others have dreamt of it, too, and the reason is because it may just be real. That is interesting enough, but then we have the other plot: Boone is also suspected of being a masked serial killer who has amassed more than fifteen victims.Clive Barker wrote this story (as ""Cabal"") and directed the film. It is probably his weakest film, despite an underground fan following. It clearly does not rank on the level of ""Hellraiser"". Yes, it has a decent cast such as Doug Bradley and Simon Bamford (though Doug was almost completely unrecognizable). And there is David Cronenberg, probably one of the greatest directors who ever lived, playing a really creepy psychiatrist. I think it is fair to say he is the highlight of the film. In fact, without Cronenberg, the film would have been a complete waste of time.The film has some major plot issues Where did the priest come from? He shows up and acts as though he was in the film the entire time, though we know this to be false. In fact, he then becomes a main character somehow. Is there an earlier scene with him that got edited out? Why is the psychiatrist so intent on wiping out Midian? Why does he care? And why should we care about the ""nightbreed""? None of their characters is ever developed. And why are they called a different race when it is clear that people can cross over? It is just so strange that the more questions you ask, the fewer answers you will get.The film as a whole has too much going on. Focusing on the serial killer part would have been enough, but they introduce thirty characters and develop none of them. Recently, an additional 44 minutes of footage was found from the film. Would it probably explain the plot better? Yes. But is it worth sitting through a three-hour version of this film? I suspect not. If two hours was just average (at best), the longer version could not improve on this.Now, I still support its release. Clive Barker is fighting Morgan Creek, who refuse to release or sell the footage, so for those who want to see it, they cannot. And, to be fair, some is just a second here or there cut by the MPAA (the hospital scene where the man removes his face was trimmed down, for example).Should you see this? Well, if you like Clive Barker, yes. Or Doug Bradley (though you cannot even recognize him due to the German voice dub). But it is not one of the better films I have seen... none of my reference books even mention it! That is a sad state of affairs!",-1
8,"Troubled young man Aaron Boone (a likeable and passable performance by Craig Sheffer) gets set up as a serial killer by cunning and deranged psychiatrist Dr. Philip K. Decker (well played with chilling understatement by noted film director David Cronenberg). However, it turns out Boone is actually a monster messiah in disguise who Decker is using as a means of finding a mythical creature Shangri-La called Midian.Writer/director Clive Barker delivers a potent and provocative horror/fantasy allegory on mankind's cruelty, hatred, and intolerance towards anyone or anything different that goes outside man's ability to understand and subsequently accept. Moreover, Barker presents a dazzling array of monsters that are exotic, grotesque, sympathetic, and wholly convincing: The magical underground world of Midian and its colorful inhabitants are both beautifully realized.In addition, it's acted with zeal by an able cast: Anne Bobby as Boone's concerned girlfriend Lori Winston, Charles Haid as hateful bigot Captain Eigerman, Hugh Quarshie as the pragmatic Detective Joyce, Hugh Ross as the raucous Narcisse, Doug Bradley as peaceful Moses-like leader Dirk Lylesberg, Catherine Chevalier as the alluring Rachel, Oliver Parker as the ferocious Peloquin, and Malcolm Smith as weak drunken priest Ashberry. Popping up in nifty small roles are John Agar as an ill-fated gas station owner, prolific British bit player Harry Fielder as the redneck who gets taken out by little black demon Devil Lude, and splatterpunk writers John Skipp and Craig Spector as a couple of bloodied dead bodies in a hotel room. Robin Vidgeon's vibrant cinematography offers a wealth of stunning visuals. Danny Elfman's robust and majestic orchestral score hits the rousing spot. A superior creature feature.",1
4,"Plagued by weird dreams of a mythical place called Midian, Aaron Boone (Craig Sheffer) is drawn into a nightmarish world of monsters and madmen, with adoring girlfriend Lori (Anne Bobby) in tow.I first saw Clive Barker's Nightbreed in 1990 and couldn't believe that it was from the same man who gave us the excellent Hellraiser: the film was a total mess. I have since learnt that the movie was the victim of studio interference and that some footage was excised against Barker's wishes, but to be honest, more of the same doesn't make the experience any better. The Director's Cut still suffers from a dreadful story, weak performances, bad special effects (that cemetery matte painting is awful!), lousy monsters (pathetic creatures that we, the viewers, are supposed to empathise with), and an all-pervading, overblown score from Danny Elfman (of which the chanting sections sound uncannily similar to that old advert for Meow Mix ""I want chicken, I want liver"").Only David Cronenberg, as hooded serial killer psychiatrist Dr. Philip K. Decker, impresses, his character being a truly scary creation (although I still haven't quite figured out how he can see through those buttons on his mask); to be honest, I wish the whole film had been about Decker it would have been a whole lot more entertaining than this muddled monster mash.3.5 out of 10, rounded up to 4 for IMDb.",-1
5,"I remember watching ""Nightbreed"" sometime during my teenage years and then again later on into my adult years. Then I decided to revisit it again, because I did remember it fondly.Now, I must admit that ""Nightbreed"" was actually weighed down by a fairly tame storyline, which was odd, because I remembered it to be much more entertaining. However, this lack of a deeper storyline, was more than made up for with lots of interesting make-up effects on the numerous members of the tribe.There was some good acting performances put on by an equally good cast, which includes the likes of Craig Sheffer and Doug Bradley.""Nightbreed"" is sort of a surreal mixture of horror and grotesque imagination from writer and director Clive Barker. But of course, one would suspect such an endeavor from a creative mind such as his, especially with all his other interesting work.This movie is not particularly outstanding in terms of the horror genre, although the creature design is something that will actually be imprinted in your memory for a long, long time. And that was a great accomplishment, in my opinion.I believe this is the third or fourth time that I have actually watched ""Nightbreed"" since it was initially released back in 1990.",-1
